entry_order,entry_deal,entry_time,entry_price,entry_balance,entry_comment_deal,entry_comment_order,exit_order,exit_deal,exit_time,exit_price,exit_balance,profit,exit_comment_deal,exit_comment_order,entry_Timestamp,entry_Open,entry_High,entry_Low,entry_Close,entry_Spread (Pips),entry_RSI(14),"entry_MA(20,SMA)",entry_MACD Main,entry_MACD Signal,entry_ATR(14),entry_ADX(14),entry_plusDI(14),entry_minusDI(14),entry_StochK(14),entry_StochD(14),entry_BB_Upper,entry_BB_Mid,entry_BB_Lower,entry_candle_time,exit_Timestamp,exit_Open,exit_High,exit_Low,exit_Close,exit_Spread (Pips),exit_RSI(14),"exit_MA(20,SMA)",exit_MACD Main,exit_MACD Signal,exit_ATR(14),exit_ADX(14),exit_plusDI(14),exit_minusDI(14),exit_StochK(14),exit_StochD(14),exit_BB_Upper,exit_BB_Mid,exit_BB_Lower,exit_candle_time
2,2,2025-01-07 02:00:00,2634.91,10000.0,IMPERIUM,IMPERIUM,3,3,2025-01-07 15:54:40,2662.84,10027.93,27.93,tp 2662.84,tp 2662.84,2025.01.07 02:00,2634.29,2634.82,2634.01,2634.01,77.0,42.62015130824879,2635.0030000000006,-0.2947774783096974,-0.1478208629368865,0.7078571428571945,53.70337208736069,8.349474040290234,22.479739011768785,36.2424242424291,26.16457161696697,2636.780099884644,2635.003,2633.2259001153566,2025-01-07 02:00:00,2025.01.07 15:50,2659.94,2663.1,2659.45,2662.52,72.0,79.37900769536466,2654.0605000000005,3.892873047834655,3.2602279375073118,2.864999999999972,74.32377721654399,32.680441862408664,3.692500219037541,90.97414589104368,87.59466589202988,2664.0738220761136,2654.060499999999,2644.0471779238846,2025-01-07 15:50:00
4,4,2025-01-08 07:00:00,2647.28,10027.93,IMPERIUM,IMPERIUM,5,5,2025-01-09 14:58:40,2674.83,10055.48,27.55,tp 2674.83,tp 2674.83,2025.01.08 07:00,2646.64,2646.93,2646.46,2646.57,76.0,47.79401026961966,2646.568499999999,-0.3438288921720414,-0.3138491812540145,0.7650000000000294,22.420675948701387,24.479925682916573,26.535361505040296,39.0804597701184,29.497202542824706,2647.6169326397053,2646.5685,2645.5200673602944,2025-01-08 07:00:00,2025.01.09 14:55,2673.57,2674.79,2672.83,2673.63,72.0,63.13629410898121,2671.2329999999965,1.615099296398057,1.61897698060406,1.8221428571429013,16.76175619296604,22.93500011887282,11.833417587923265,74.6689694876236,72.53711433941243,2674.7132706791285,2671.233,2667.752729320872,2025-01-09 14:55:00
6,6,2025-01-13 15:00:00,2671.44,10055.48,IMPERIUM,IMPERIUM,12,12,2025-01-15 16:00:00,2693.6,10135.21,22.16,,,2025.01.13 15:00,2670.66,2671.91,2668.46,2670.48,93.0,36.26446728417399,2672.9464999999973,-2.4808937767556927,-2.8725012372298404,2.989285714285671,35.50797339316163,11.972720864324224,24.42211021771089,47.161572052400366,48.455857588902624,2679.9526438038342,2672.9465000000005,2665.9403561961667,2025-01-13 15:00:00,2025.01.15 16:00,2693.45,2695.66,2692.84,2693.44,75.0,71.76137680114182,2686.182499999998,1.401451415181782,0.1739599996951045,3.524285714285655,23.900975319634277,32.68513644948423,9.961714772001596,80.99865047233587,69.12027931833889,2691.9564860581754,2686.1825000000003,2680.4085139418253,2025-01-15 16:00:00
7,7,2025-01-13 15:00:00,2671.44,10055.48,IMPERIUM,IMPERIUM,10,10,2025-01-15 16:00:00,2693.6,10081.57,26.09,,,2025.01.13 15:00,2670.66,2671.91,2668.46,2670.48,93.0,36.26446728417399,2672.9464999999973,-2.4808937767556927,-2.8725012372298404,2.989285714285671,35.50797339316163,11.972720864324224,24.42211021771089,47.161572052400366,48.455857588902624,2679.9526438038342,2672.9465000000005,2665.9403561961667,2025-01-13 15:00:00,2025.01.15 16:00,2693.45,2695.66,2692.84,2693.44,75.0,71.76137680114182,2686.182499999998,1.401451415181782,0.1739599996951045,3.524285714285655,23.900975319634277,32.68513644948423,9.961714772001596,80.99865047233587,69.12027931833889,2691.9564860581754,2686.1825000000003,2680.4085139418253,2025-01-15 16:00:00
8,8,2025-01-13 18:00:00,2662.12,10055.48,IMPERIUM,IMPERIUM,11,11,2025-01-15 16:00:00,2693.6,10113.05,31.48,,,2025.01.13 18:00,2661.5,2662.95,2660.39,2662.82,76.0,38.55273918668315,2667.356999999997,-1.7081951221111922,-1.053717772027429,2.744285714285682,35.6987904565418,7.838752477900173,32.66511975861988,9.58484257453324,9.494796293872044,2673.3869887230403,2667.3569999999995,2661.3270112769587,2025-01-13 18:00:00,2025.01.15 16:00,2693.45,2695.66,2692.84,2693.44,75.0,71.76137680114182,2686.182499999998,1.401451415181782,0.1739599996951045,3.524285714285655,23.900975319634277,32.68513644948423,9.961714772001596,80.99865047233587,69.12027931833889,2691.9564860581754,2686.1825000000003,2680.4085139418253,2025-01-15 16:00:00
9,9,2025-01-14 12:00:00,2667.51,10055.48,IMPERIUM,IMPERIUM,13,13,2025-01-15 22:59:40,2696.32,10160.09,24.88,tp 2696.32,tp 2696.32,2025.01.14 12:00,2666.88,2668.24,2665.67,2668.24,70.0,47.28377477441998,2669.4394999999963,-0.8093972326073526,-0.5253646787862851,1.772142857142849,36.535971693084974,15.482925771490924,20.82175460800663,37.637241985067575,28.7084477158564,2673.911052191353,2669.4394999999995,2664.967947808646,2025-01-14 12:00:00,2025.01.15 22:55,2695.64,2696.23,2695.25,2696.1,63.0,64.55656188586138,2694.482499999999,0.8682736993064282,0.9077311996248372,0.9750000000000312,20.92094930485637,19.2634192660742,8.770487441342793,85.02857142857205,78.2051952404907,2696.1192146971903,2694.4825,2692.845785302809,2025-01-15 22:55:00
14,14,2025-01-17 08:00:00,2711.96,10160.09,IMPERIUM,IMPERIUM,16,16,2025-01-17 15:00:00,2710.76,10165.62,5.53,,,2025.01.17 08:00,2711.23,2712.11,2710.71,2712.02,72.0,37.55094052147928,2713.6279999999992,-0.8312857388004886,-0.5150701784011398,1.056428571428594,39.47836926228766,8.503419929383197,28.55491840560858,16.114109483420584,15.747774471573162,2716.2047700712324,2713.628,2711.051229928767,2025-01-17 08:00:00,2025.01.17 15:00,2710.61,2711.19,2708.97,2709.18,73.0,54.51236231783438,2708.182499999999,1.1625914464580092,1.0112730014194515,1.7521428571429294,25.241938500136364,16.772435924148148,17.892794640992435,84.2979365878213,89.51741155689788,2712.458806233188,2708.1825,2703.906193766812,2025-01-17 15:00:00
15,15,2025-01-17 12:00:00,2705.23,10160.09,IMPERIUM,IMPERIUM,20,20,2025-01-21 05:00:00,2724.37,10178.03,12.41,,,2025.01.17 12:00,2704.61,2704.86,2703.57,2704.51,71.0,29.270749077303734,2708.4879999999994,-1.6647583343019503,-1.1844689234590489,1.652142857142793,48.656483856504366,5.7702291635951495,35.484883543168124,7.831325301205743,7.809444920614406,2713.498032335225,2708.4880000000003,2703.4779676647754,2025-01-17 12:00:00,2025.01.21 05:00,2724.22,2725.84,2723.25,2723.25,72.0,67.5025616901032,2719.4329999999973,3.5052265538561187,3.534285848245732,2.075714285714278,52.76633746057129,35.38261548523419,11.176353483589956,81.20930232558042,84.10449090990801,2727.825770936944,2719.4330000000004,2711.0402290630573,2025-01-21 05:00:00
17,17,2025-01-17 16:00:00,2705.19,10165.62,IMPERIUM,IMPERIUM,23,23,2025-01-21 15:00:00,2726.58,10247.41,21.39,,,2025.01.17 16:00,2704.62,2705.39,2703.32,2704.68,63.0,40.92043048518967,2708.2594999999983,-0.5837913061054678,0.0471770377155128,2.550714285714314,32.26272186531282,9.057806337379384,27.30597961706113,11.144839549003338,16.27267456895148,2712.438459080919,2708.2595,2704.08054091908,2025-01-17 16:00:00,2025.01.21 15:00,2726.43,2727.95,2726.27,2727.86,75.0,68.53900874335689,2723.8770000000004,1.49038098245137,1.2219555663743755,1.5299999999999354,41.19533144628204,30.430033912525047,11.85241058544598,86.04780433574358,83.24373934876145,2728.3192701403677,2723.877,2719.4347298596326,2025-01-21 15:00:00
18,18,2025-01-20 02:00:00,2696.86,10165.62,IMPERIUM,IMPERIUM,22,22,2025-01-21 15:00:00,2726.58,10226.02,29.72,,,2025.01.20 02:00,2696.06,2696.07,2694.36,2694.43,83.0,34.761601060997606,2698.6595000000007,-1.97682236518358,-1.8744255282333249,2.3599999999999905,32.820365371966595,8.815635481762783,30.61648437166532,38.79456706281778,41.38841727975864,2705.568698144503,2698.6595,2691.7503018554976,2025-01-20 02:00:00,2025.01.21 15:00,2726.43,2727.95,2726.27,2727.86,75.0,68.53900874335689,2723.8770000000004,1.49038098245137,1.2219555663743755,1.5299999999999354,41.19533144628204,30.430033912525047,11.85241058544598,86.04780433574358,83.24373934876145,2728.3192701403677,2723.877,2719.4347298596326,2025-01-21 15:00:00
