entry_order,entry_deal,entry_time,entry_price,entry_balance,entry_comment_deal,entry_comment_order,exit_order,exit_deal,exit_time,exit_price,exit_balance,profit,exit_comment_deal,exit_comment_order,entry_Timestamp,entry_Open,entry_High,entry_Low,entry_Close,entry_Spread (Pips),entry_RSI(14),"entry_MA(20,SMA)",entry_MACD Main,entry_MACD Signal,entry_ATR(14),entry_ADX(14),entry_plusDI(14),entry_minusDI(14),entry_StochK(14),entry_StochD(14),entry_BB_Upper,entry_BB_Mid,entry_BB_Lower,entry_candle_time,exit_Timestamp,exit_Open,exit_High,exit_Low,exit_Close,exit_Spread (Pips),exit_RSI(14),"exit_MA(20,SMA)",exit_MACD Main,exit_MACD Signal,exit_ATR(14),exit_ADX(14),exit_plusDI(14),exit_minusDI(14),exit_StochK(14),exit_StochD(14),exit_BB_Upper,exit_BB_Mid,exit_BB_Lower,exit_candle_time,duration_hours,trade_duration_minutes,cluster
2,2,2025-01-07 02:00:00,2634.91,10000.0,IMPERIUM,IMPERIUM,3,3,2025-01-07 15:54:40,2662.84,10027.93,27.93,tp 2662.84,tp 2662.84,2025.01.07 02:00,2634.29,2634.82,2634.01,2634.01,77.0,42.62015130824879,2635.0030000000006,-0.2947774783096974,-0.1478208629368865,0.7078571428571945,53.70337208736069,8.349474040290234,22.479739011768785,36.2424242424291,26.16457161696697,2636.780099884644,2635.003,2633.2259001153566,2025-01-07 02:00:00,2025.01.07 15:50,2659.94,2663.1,2659.45,2662.52,72.0,79.37900769536466,2654.0605000000005,3.892873047834655,3.260227937507312,2.864999999999972,74.32377721654399,32.680441862408664,3.692500219037541,90.97414589104368,87.59466589202988,2664.0738220761136,2654.060499999999,2644.0471779238846,2025-01-07 15:50:00,13.911111111111111,834.6666666666666,1
6,6,2025-01-13 15:00:00,2671.44,10055.48,IMPERIUM,IMPERIUM,12,12,2025-01-15 16:00:00,2693.6,10135.21,22.16,,,2025.01.13 15:00,2670.66,2671.91,2668.46,2670.48,93.0,36.26446728417399,2672.9464999999973,-2.4808937767556927,-2.8725012372298404,2.989285714285671,35.50797339316163,11.972720864324224,24.42211021771089,47.161572052400366,48.455857588902624,2679.9526438038342,2672.9465000000005,2665.9403561961667,2025-01-13 15:00:00,2025.01.15 16:00,2693.45,2695.66,2692.84,2693.44,75.0,71.76137680114182,2686.182499999998,1.401451415181782,0.1739599996951045,3.524285714285655,23.90097531963428,32.68513644948423,9.961714772001596,80.99865047233587,69.12027931833889,2691.9564860581754,2686.1825000000003,2680.4085139418253,2025-01-15 16:00:00,49.0,2940.0,1
7,7,2025-01-13 15:00:00,2671.44,10055.48,IMPERIUM,IMPERIUM,10,10,2025-01-15 16:00:00,2693.6,10081.57,26.09,,,2025.01.13 15:00,2670.66,2671.91,2668.46,2670.48,93.0,36.26446728417399,2672.9464999999973,-2.4808937767556927,-2.8725012372298404,2.989285714285671,35.50797339316163,11.972720864324224,24.42211021771089,47.161572052400366,48.455857588902624,2679.9526438038342,2672.9465000000005,2665.9403561961667,2025-01-13 15:00:00,2025.01.15 16:00,2693.45,2695.66,2692.84,2693.44,75.0,71.76137680114182,2686.182499999998,1.401451415181782,0.1739599996951045,3.524285714285655,23.90097531963428,32.68513644948423,9.961714772001596,80.99865047233587,69.12027931833889,2691.9564860581754,2686.1825000000003,2680.4085139418253,2025-01-15 16:00:00,49.0,2940.0,1
8,8,2025-01-13 18:00:00,2662.12,10055.48,IMPERIUM,IMPERIUM,11,11,2025-01-15 16:00:00,2693.6,10113.05,31.48,,,2025.01.13 18:00,2661.5,2662.95,2660.39,2662.82,76.0,38.55273918668315,2667.356999999997,-1.7081951221111922,-1.053717772027429,2.744285714285682,35.6987904565418,7.838752477900173,32.66511975861988,9.58484257453324,9.494796293872044,2673.3869887230403,2667.3569999999995,2661.3270112769587,2025-01-13 18:00:00,2025.01.15 16:00,2693.45,2695.66,2692.84,2693.44,75.0,71.76137680114182,2686.182499999998,1.401451415181782,0.1739599996951045,3.524285714285655,23.90097531963428,32.68513644948423,9.961714772001596,80.99865047233587,69.12027931833889,2691.9564860581754,2686.1825000000003,2680.4085139418253,2025-01-15 16:00:00,46.0,2760.0,1
15,15,2025-01-17 12:00:00,2705.23,10160.09,IMPERIUM,IMPERIUM,20,20,2025-01-21 05:00:00,2724.37,10178.03,12.41,,,2025.01.17 12:00,2704.61,2704.86,2703.57,2704.51,71.0,29.270749077303734,2708.4879999999994,-1.6647583343019503,-1.1844689234590489,1.652142857142793,48.656483856504366,5.7702291635951495,35.484883543168124,7.831325301205743,7.809444920614406,2713.498032335225,2708.4880000000003,2703.4779676647754,2025-01-17 12:00:00,2025.01.21 05:00,2724.22,2725.84,2723.25,2723.25,72.0,67.5025616901032,2719.4329999999973,3.5052265538561187,3.534285848245732,2.075714285714278,52.76633746057129,35.38261548523419,11.176353483589956,81.20930232558042,84.10449090990801,2727.825770936944,2719.4330000000004,2711.0402290630573,2025-01-21 05:00:00,89.0,5340.0,1
17,17,2025-01-17 16:00:00,2705.19,10165.62,IMPERIUM,IMPERIUM,23,23,2025-01-21 15:00:00,2726.58,10247.41,21.39,,,2025.01.17 16:00,2704.62,2705.39,2703.32,2704.68,63.0,40.92043048518967,2708.2594999999983,-0.5837913061054678,0.0471770377155128,2.550714285714314,32.26272186531282,9.057806337379384,27.30597961706113,11.144839549003338,16.27267456895148,2712.438459080919,2708.2595,2704.08054091908,2025-01-17 16:00:00,2025.01.21 15:00,2726.43,2727.95,2726.27,2727.86,75.0,68.53900874335689,2723.8770000000004,1.49038098245137,1.2219555663743755,1.5299999999999354,41.19533144628204,30.430033912525047,11.85241058544598,86.04780433574358,83.24373934876145,2728.319270140368,2723.877,2719.4347298596326,2025-01-21 15:00:00,95.0,5700.0,1
18,18,2025-01-20 02:00:00,2696.86,10165.62,IMPERIUM,IMPERIUM,22,22,2025-01-21 15:00:00,2726.58,10226.02,29.72,,,2025.01.20 02:00,2696.06,2696.07,2694.36,2694.43,83.0,34.761601060997606,2698.6595000000007,-1.97682236518358,-1.8744255282333249,2.3599999999999905,32.820365371966595,8.815635481762783,30.61648437166532,38.79456706281778,41.38841727975864,2705.568698144503,2698.6595,2691.7503018554976,2025-01-20 02:00:00,2025.01.21 15:00,2726.43,2727.95,2726.27,2727.86,75.0,68.53900874335689,2723.8770000000004,1.49038098245137,1.2219555663743755,1.5299999999999354,41.19533144628204,30.430033912525047,11.85241058544598,86.04780433574358,83.24373934876145,2728.319270140368,2723.877,2719.4347298596326,2025-01-21 15:00:00,37.0,2220.0,1
24,24,2025-01-22 22:00:00,2755.5,10247.41,IMPERIUM,IMPERIUM,27,27,2025-01-24 05:04:40,2777.02,10272.19,24.78,tp 2777.02,tp 2777.02,2025.01.22 22:00,2754.9,2754.9,2754.6,2754.8,75.0,37.93832607486048,2756.4095,-0.5582639010540333,-0.3909929642368712,0.7507142857142648,48.32850722956186,6.071030793786517,19.897249040279107,7.870837537846566,8.662911226781098,2758.9269230872064,2756.4095,2753.892076912793,2025-01-22 22:00:00,2025.01.24 05:00,2773.76,2776.9,2773.76,2776.83,90.0,80.73651470366985,2766.987500000001,4.27936985106453,3.61100015692971,2.4664285714285823,63.74282402171316,40.70676497820663,4.292208844951196,97.10233029382,97.48386634262444,2778.716041043114,2766.9875,2755.2589589568865,2025-01-24 05:00:00,31.07777777777778,1864.6666666666667,1
30,30,2025-01-27 05:00:00,2756.56,10318.22,IMPERIUM,IMPERIUM,34,34,2025-01-27 12:00:00,2763.09,10338.1,6.53,,,2025.01.27 05:00,2755.81,2756.83,2754.76,2755.89,82.0,29.581919504945034,2759.869999999997,-2.999655860056464,-3.048046457679084,2.272142857142849,60.50771750178514,10.038815222166267,25.454854993793983,20.441817050403653,22.071947926642547,2767.97156034354,2759.8700000000003,2751.7684396564614,2025-01-27 05:00:00,2025.01.27 12:00,2762.94,2765.19,2762.68,2763.87,83.0,64.36968416499465,2760.2884999999983,2.3515031165529763,2.265504160766099,2.4857142857142955,47.06872470029319,29.64148428388883,5.824765553243667,86.52188900379083,85.63595130535738,2765.916694293021,2760.2885,2754.6603057069788,2025-01-27 12:00:00,7.0,420.0,1
31,31,2025-01-27 05:00:00,2756.56,10318.22,IMPERIUM,IMPERIUM,33,33,2025-01-27 12:00:00,2763.09,10331.57,13.35,,,2025.01.27 05:00,2755.81,2756.83,2754.76,2755.89,82.0,29.581919504945034,2759.869999999997,-2.999655860056464,-3.048046457679084,2.272142857142849,60.50771750178514,10.038815222166267,25.454854993793983,20.441817050403653,22.071947926642547,2767.97156034354,2759.8700000000003,2751.7684396564614,2025-01-27 05:00:00,2025.01.27 12:00,2762.94,2765.19,2762.68,2763.87,83.0,64.36968416499465,2760.2884999999983,2.3515031165529763,2.265504160766099,2.4857142857142955,47.06872470029319,29.64148428388883,5.824765553243667,86.52188900379083,85.63595130535738,2765.916694293021,2760.2885,2754.6603057069788,2025-01-27 12:00:00,7.0,420.0,1
