date,cluster_0_pnl,cluster_1_pnl,cluster_2_pnl,cluster_3_pnl,total_pnl
2025-01-07,0.0,27.93,0.0,0.0,27.93
2025-01-09,27.55,0.0,0.0,0.0,27.55
2025-01-15,24.88,79.73,0.0,0.0,104.61
2025-01-17,5.53,0.0,0.0,0.0,5.53
2025-01-21,18.27,63.519999999999996,0.0,0.0,81.78999999999999
2025-01-24,46.03,24.78,0.0,0.0,70.81
2025-01-27,14.73,19.88,0.0,0.0,34.61
2025-01-29,0.0,44.17,0.0,0.0,44.17
2025-02-03,35.199999999999996,0.0,0.0,0.0,35.199999999999996
2025-02-04,0.0,0.0,0.0,10.29,10.29
2025-02-05,22.29,0.0,0.0,21.89,44.18
2025-02-06,-15.68,-6.78,0.0,0.0,-22.46
2025-02-07,17.2,0.0,0.0,0.0,17.2
2025-02-10,75.74,0.0,0.0,0.0,75.74
2025-02-11,-18.18,6.78,-7.24,39.59,20.950000000000003
2025-02-12,-22.45,0.0,0.0,0.0,-22.45
2025-02-13,65.42,0.0,0.0,-1.64,63.78
2025-02-14,9.18,0.0,0.0,0.0,9.18
2025-02-17,0.0,13.41,0.0,0.0,13.41
2025-02-18,0.0,25.87,0.0,0.0,25.87
2025-02-19,57.67,118.13,0.0,0.0,175.8
2025-02-20,0.0,0.0,0.0,-7.73,-7.73
2025-02-25,0.0,17.47,0.0,0.0,17.47
2025-02-27,-22.68,-45.47,-9.65,0.0,-77.80000000000001
2025-02-28,-47.85,0.0,0.0,-70.24,-118.09
2025-03-03,0.0,10.42,0.0,0.0,10.42
2025-03-04,30.36,88.89,0.0,0.0,119.25
2025-03-07,0.0,0.0,0.0,8.3,8.3
2025-03-12,0.0,31.21,0.0,0.0,31.21
2025-03-13,10.58,134.33,0.0,0.0,144.91000000000003
2025-03-14,0.0,0.0,0.0,31.78,31.78
2025-03-18,33.86,42.87,0.0,0.0,76.72999999999999
2025-03-19,1.46,0.0,0.0,0.0,1.46
2025-03-20,3.2,24.68,0.0,0.0,27.88
2025-03-21,0.0,-5.23,0.0,0.0,-5.23
2025-03-24,-17.29,19.869999999999997,0.0,0.0,2.5799999999999983
2025-03-28,141.62,92.1,0.0,0.0,233.72
2025-03-31,38.58,0.0,0.0,0.0,38.58
2025-04-01,30.18,0.0,-7.24,-12.87,10.069999999999999
2025-04-02,0.0,18.16,11.37,0.0,29.53
2025-04-03,-153.2,0.0,114.00999999999999,28.71,-10.479999999999997
2025-04-04,3.3400000000000003,0.0,17.18,0.0,20.52
2025-04-07,-61.39,71.51,-34.17,0.0,-24.049999999999997
2025-04-08,15.79,0.0,0.0,0.0,15.79
2025-04-09,0.0,0.0,76.51,46.8,123.31
2025-04-10,28.84,0.0,0.0,34.5,63.34
2025-04-11,35.379999999999995,0.0,0.0,0.0,35.379999999999995
2025-04-14,0.0,0.0,0.0,-12.82,-12.82
2025-04-15,24.75,0.0,0.0,0.0,24.75
2025-04-16,0.0,38.34,0.0,39.28,77.62
2025-04-17,-6.57,2.81,25.459999999999997,27.86,49.559999999999995
2025-04-21,15.889999999999999,0.0,0.0,51.720000000000006,67.61
2025-04-23,0.0,0.0,56.410000000000004,-40.85,15.560000000000002
2025-04-24,0.0,0.0,124.15,0.0,124.15
2025-04-25,3.34,0.0,0.0,0.0,3.34
2025-04-28,1.82,0.0,0.0,0.0,1.82
2025-04-30,0.0,0.0,0.0,-26.49,-26.49
2025-05-01,0.0,0.0,-47.47,0.0,-47.47
2025-05-02,41.769999999999996,18.58,0.0,0.0,60.349999999999994
2025-05-05,55.6,0.0,0.0,22.17,77.77000000000001
2025-05-06,55.87,0.0,0.0,0.0,55.87
2025-05-07,8.34,0.0,0.0,-8.59,-0.25
2025-05-08,11.13,0.0,0.0,-48.45,-37.32
